"term";"definition";"retrieved_sources"
"valor de la bibliografía";"";"[""https://www.reference.com/science/literature-value-chemistry-ae1d07a4222e23a9""]"
"índice de productividad de la vegetación";"Índice de productividad de la vegetación.";"[""https://land.copernicus.eu/global/products/vpi""]"
"VPI";"VPI es un acrónimo que significa “Vegetation Productivity Index”. Es un índice que se utiliza para medir la productividad vegetal en una región determinada. El VPI se calcula utilizando datos de satélite y se utiliza para evaluar la salud y la productividad de los ecosistemas vegetales. El VPI se basa en la relación entre la biomasa vegetal y la luz solar que recibe la vegetación. Cuanto más biomasa vegetal hay en una región, mayor será la productividad vegetal. El VPI se utiliza en estudios de cambio climático, gestión de recursos naturales y evaluación de la salud de los ecosistemas vegetales.";"[""https://land.copernicus.eu/global/products/vpi""]"
"entrelazamiento";"Entrelazamiento es la propiedad de un sistema cuántico que se manifiesta cuando dos o más partículas se encuentran en un estado cuántico en el que la información sobre el estado de una de ellas no puede ser determinada sin que se modifique el estado de la otra.";"[""https://es.wikipedia.org/wiki/Entrelazamiento_cu%C3%A1ntico""]"
"resistencia específica a la tracción";"1. El término ""tecnología"" se refiere a la ciencia y el arte de la ingeniería, y a los productos y procesos que resultan de la aplicación de la ciencia y el arte de la ingeniería.";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32009R0428""]"
"pez de agua dulce";"Los peces de agua dulce son aquellos que habitan en aguas dulces, es decir, en ríos, lagos, arroyos o aguas estancadas dulces.";"[""https://magicanaturaleza.com/c-peces/peces-de-agua-dulce/"", ""https://www.pescaderiascorunesas.es/clasificacion/por-tipo-de-agua/pescado-de-agua-dulce""]"
"obtención de imágenes cuánticas";"Obtener Imagen Fantasma";"[""https://francis.naukas.com/2013/07/07/francis-en-eureka-imagenes-fantasmas-utilizando-el-entrelazamiento-entre-fotones/""]"
"planetología";"Planetología es la rama de la astronomía que estudia los planetas y sus satélites.";"[""http://es.wikipedia.org/wiki/Ciencias_planetarias""]"
"radiación cósmica de fondo";"";"[""https://cvc.cervantes.es/ciencia/astronomia/100_conceptos_basicos/conceptos/r1.htm#radiacion_fondo_microondas""]"
"coherencia";"El secreto estadístico es la obligación de mantener en secreto los datos confidenciales que se han obtenido para la elaboración de estadísticas.";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32009R0223""]"
"sistema inteligente";"Un sistema de información es un conjunto de elementos que permiten la recopilación, almacenamiento, procesamiento y distribución de información.";"[""https://www.bbvaopenmind.com/articulos/la-ultima-decada-y-el-futuro-del-impacto-de-la-ia-en-la-sociedad/""]"
"ciclo biogeoquímico";"Ciclo biogeoquímico";"[""http://www.fao.org/faoterm/es/?defaultCollId=21""]"
"geometría diferencial";"La geometría diferencial es la rama de la geometría que estudia las propiedades de las curvas y superficies en el espacio tridimensional.";"[""http://es.wikipedia.org/wiki/Geometr%C3%ADa_diferencial""]"
"función gaussiana";"La función gaussiana es una función definida por la expresión:";"[""http://es.wikipedia.org/wiki/Funci%C3%B3n_gaussiana""]"
"anillos de Saturno";"Anillo de Saturno";"[""https://es.wikipedia.org/wiki/Anillos_de_Saturno""]"
"entomología";"Entomología es la ciencia que estudia a los insectos.";"[""http://es.wikipedia.org/wiki/Entomolog%C3%ADa""]"
