term;definition;source;info_semantica
transferencia de autoridad;La transferencia de autoridad es la acción de pasar o delegar la responsabilidad y poder de toma de decisiones de una persona u organismo a otro, gene.;Consejo-ES;Variants: transferencia de autoridad | Domains: INTERNATIONAL RELATIONS | Context: En el contexto de actividades militares, acto mediante el cual las autoridades nacionales transfieren oficialmente el mando o control de sus fuerzas nacionales a un responsable de una operación multinacional. | Ref: Consejo-ES
Informe anual general sobre las actividades de formación de la EESD;Informe anual general sobre las actividades de formación de la EESD. (Español) La definición del término 'Informe anual general sobre las actividades .;Consejo-ES;"Variants: Informe anual general sobre las actividades de formación de la EESD | Domains: INTERNATIONAL RELATIONS | Context: Informe anual sobre las actividades de formación relacionadas con la Política Común de Seguridad y Defensa <a href=""/entry/result/914172/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:914172</a> , elaborados esencialmente a partir de información de la EESD <a href=""/entry/result/920047/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:920047</a> , la CEPOL <a href=""/entry/result/915022/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:915022</a> , el SEAE <a href=""/entry/result/930934/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:930934</a> , las misiones y operaciones de la PCSD, la Comisión Europea, la AED <a href=""/entry/result/929753/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:929753</a> , el Centro de Satélites de la UE <a href=""/entry/result/924658/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:924658</a> , Europol <a href=""/entry/result/866550/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:866550</a> , Frontex <a href=""/entry/result/931577/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:931577</a> y los Estados miembros. | Ref: Consejo-ES"
estrategia europea en materia de armamento;Estrategia europea en materia de armamento La estrategia europea en materia de armamento se refiere a la planificación y coordinación de las políticas.;Consejo-ES;"Variants: estrategia europea en materia de armamento | Domains: INTERNATIONAL RELATIONS | Context: Una de las cuatro estrategias a largo plazo (junto con el Plan de Desarrollo de Capacidades <a href=""/entry/result/2241824/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:2241824</a> , la estrategia de la base tecnológica e industrial de la defensa europea (BTID) <a href=""/entry/result/897937/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:897937</a> y la estrategia europea de investigación y tecnología de defensa <a href=""/entry/result/2250300/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:2250300</a> ), de cuya elaboración se encarga la Agencia Europea de Defensa <a href=""/entry/result/929753/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:929753</a> . | Ref: Consejo-ES"
curso de orientación PCSD;El curso de orientación PCSD (Plan de Contingencia por Situaciones de Desastre) es una formación especializada que se enfoca en la preparación y respu.;"Consejo-ES. Véase<br>Informe de la Presidencia sobre la PESD, punto 118 (doc. 10415/08 del Consejo) <a href=""http://register.consilium.europa.eu/pdf/es/08/st10/st10415.es08.pdf"" target=""_blank"">http://register.consilium.europa.eu/pdf/es/08/st10/st10415.es08.pdf</a>";"Variants: curso de orientación PCSD | Domains: INTERNATIONAL RELATIONS | Context: Curso impartido por la Escuela Europea de Seguridad y Defensa <a href=""/entry/result/920047/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:920047</a> para proporcionar a los participantes conocimientos generales sobre la Política Común de Seguridad y Defensa <a href=""/entry/result/914172/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:914172</a> y propiciar la comprensión y la interacción entre las personas que actúan en dicho ámbito. | Ref: Consejo-ES. Véase<br>Informe de la Presidencia sobre la PESD, punto 118 (doc. 10415/08 del Consejo) <a href=""http://register.consilium.europa.eu/pdf/es/08/st10/st10415.es08.pdf"" target=""_blank"">http://register.consilium.europa.eu/pdf/es/08/st10/st10415.es08.pdf</a>"
plataforma militar;La plataforma militar es una estructura o base que sirve como punto de partida, operación o mantenimiento para las fuerzas armadas o unidades militare.;"Consejo-ES a partir de diversas fuentes:<br><a href=""https://www.tecnologiaeinnovacion.defensa.gob.es/es-es/Estrategia/HojasDeRuta/Paginas/Plataformas.aspx"" target=""_blank"">Ministerio de Defensa - Portal de Tecnología e Innovación &gt; Estrategia de Tecnología e Innovación &gt; Líneas de I+D+i &gt; Plataformas<time datetime=""1.4.2022""> (1.4.2022)</time></a>. | Sánchez Álvarez, L.F.: <a href=""https://armada.defensa.gob.es/archivo/rgm/2016/11/RGM%20Noviembre%202016%20VF.pdf"" target=""_blank"">«Radiaciones electromagnéticas no ionizantes en la Armada»</a>, <i>Revista General de Marina, </i>noviembre de 2016, Ministerio de Defensa, p.643 <a href=""https://armada.defensa.gob.es/archivo/rgm/2016/11/RGM%20Noviembre%202016%20VF.pdf"" target=""_blank""><time datetime=""1.4.2022"">(1.4.2022)</time></a>.";"Variants: plataforma militar | Domains: INTERNATIONAL RELATIONS | Context: Vehículo o instalación terrestre, naval, aérea o espacial que alberga equipos, tecnologías y sistemas para el desarrollo de una determinada función militar. | Ref: Consejo-ES a partir de diversas fuentes:<br><a href=""https://www.tecnologiaeinnovacion.defensa.gob.es/es-es/Estrategia/HojasDeRuta/Paginas/Plataformas.aspx"" target=""_blank"">Ministerio de Defensa - Portal de Tecnología e Innovación &gt; Estrategia de Tecnología e Innovación &gt; Líneas de I+D+i &gt; Plataformas<time datetime=""1.4.2022""> (1.4.2022)</time></a>. | Sánchez Álvarez, L.F.: <a href=""https://armada.defensa.gob.es/archivo/rgm/2016/11/RGM%20Noviembre%202016%20VF.pdf"" target=""_blank"">«Radiaciones electromagnéticas no ionizantes en la Armada»</a>, <i>Revista General de Marina, </i>noviembre de 2016, Ministerio de Defensa, p.643 <a href=""https://armada.defensa.gob.es/archivo/rgm/2016/11/RGM%20Noviembre%202016%20VF.pdf"" target=""_blank""><time datetime=""1.4.2022"">(1.4.2022)</time></a>."
reconocimiento de minas;Reconocimiento de minas Reconocimiento de minas es la identificación, localización y caracterización de las minas terrestres existentes o potenciales .;"Estado Mayor de la Defensa, Traducción del Glosario OTAN de términos y definiciones, Madrid, agosto de 1996, voces ""reconocimiento"" y ""reconocimiento de materiales explosivos"".";"Variants: reconocimiento de minas | Domains: INTERNATIONAL RELATIONS | Context: Misión que se lleva a cabo con el fin de investigar, detectar, localizar, marcar e informar sobre la presencia de minas. | Ref: Estado Mayor de la Defensa, Traducción del Glosario OTAN de términos y definiciones, Madrid, agosto de 1996, voces ""reconocimiento"" y ""reconocimiento de materiales explosivos""."
NTMA;NTMA NTMA (National Treasury Management Agency) es una agencia gubernamental irlandesa responsable de la gestión del endeudamiento público y la invers.;"Consejo-ES; véase Declaración de la Cumbre de la OTAN (en inglés) <a href=""http://www.nato.int/cps/en/natolive/news_52836.htm"" target=""_blank"">http://www.nato.int/cps/en/natolive/news_52836.htm</a>";"Variants: NTMA | Domains: INTERNATIONAL RELATIONS | Context: Creada en la Cumbre de Estrasburgo de la OTAN (4-4-2009) en el marco de la Fuerza Internacional de Asistencia para la Seguridad <a href=""/entry/result/926645/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:926645</a> , con el fin de supervisar la enseñanza especializada del ejército nacional afgano y la formación y tutoría de la policía nacional afgana aprovechando las estructuras y sinergias existentes, en estrecha cooperación con la Junta Internacional de Coordinación Policial <a href=""/entry/result/2232807/all"" id=""ENTRY_TO_ENTRY_CONVERTER"" target=""_blank"">IATE:2232807</a> . | Ref: Consejo-ES; véase Declaración de la Cumbre de la OTAN (en inglés) <a href=""http://www.nato.int/cps/en/natolive/news_52836.htm"" target=""_blank"">http://www.nato.int/cps/en/natolive/news_52836.htm</a>"
Experiencia Compartida y Evitación de Conflictos;Experiencia Compartida y Evitación de Conflictos La Experiencia Compartida y Evitación de Conflictos es un enfoque que busca promover la resolución pa.;"Consejo-ES a partir de diversas fuentes. Véase, por ejemplo, EU NAVFOR. Somalia, <a href=""http://www.eunavfor.eu/2009/10/8th-shade-meeting-sees-largbest-international-participation-so-far/"" target=""_blank"">http://www.eunavfor.eu/2009/10/8th-shade-meeting-sees-largbest-international-participation-so-far/</a> [en inglés] [14-4-2010]<br>Naciones Unidas, UNTERM (base terminológica) <a href=""http://unterm.un.org/dgaacs/unterm.nsf/WebView/126CEF712A51E2F78525773F0068865D?OpenDocument"" target=""_blank"">http://unterm.un.org/dgaacs/unterm.nsf/WebView/126CEF712A51E2F78525773F0068865D?OpenDocument</a>";"Variants: Experiencia Compartida y Evitación de Conflictos | Domains: INTERNATIONAL RELATIONS | Context: Grupo militar internacional constituido como foro de colaboración informal de los países y organizaciones que participan en las operaciones de antipiratería frente a las costas de Somalia. Su misión principal es facilitar el intercambio de experiencia y la comunicación.<br>Mecanismo de coordinación militar copresidido por la Unión Europea y las Fuerzas Marítimas Combinadas, del que forman parte la UE, la OTAN y las Fuerzas Marítimas Combinadas en las que participan China, la Federación de Rusia, Japón, la India y otros países. | Ref: Consejo-ES a partir de diversas fuentes. Véase, por ejemplo, EU NAVFOR. Somalia, <a href=""http://www.eunavfor.eu/2009/10/8th-shade-meeting-sees-largbest-international-participation-so-far/"" target=""_blank"">http://www.eunavfor.eu/2009/10/8th-shade-meeting-sees-largbest-international-participation-so-far/</a> [en inglés] [14-4-2010]<br>Naciones Unidas, UNTERM (base terminológica) <a href=""http://unterm.un.org/dgaacs/unterm.nsf/WebView/126CEF712A51E2F78525773F0068865D?OpenDocument"" target=""_blank"">http://unterm.un.org/dgaacs/unterm.nsf/WebView/126CEF712A51E2F78525773F0068865D?OpenDocument</a>"
conflicto armado;Conflicto armado Un conflicto armado es una situación de violencia prolongada entre dos o más partes, generalmente Estados soberanos, que se enfrentan.;"ReliefWeb, <i>Glossary of Humanitarian Terms</i> (agosto de 2008) (solo en inglés) <a href=""https://reliefweb.int/sites/reliefweb.int/files/resources/4F99A3C28EC37D0EC12574A4002E89B4-reliefweb_aug2008.pdf"" target=""_blank"">https://reliefweb.int/sites/reliefweb.int/files/resources/4F99A3C28EC37D0EC12574A4002E89B4-reliefweb_aug2008.pdf</a> [7.9.2009].";"Variants: conflicto armado | Domains: INTERNATIONAL RELATIONS | Context: Conjunto variado de situaciones en que se producen hostilidades entre dos o más partes, que puede ser de carácter:<p>- nacional (si las partes enfrentadas son las fuerzas de seguridad del Estado y grupos de insurgentes armados, o grupos armados que luchan entre sí)</p><p>- internacional (si las hostilidades se producen entre dos o más Estados, con independencia de que haya habido o no una declaración de guerra o de que las partes reconozcan la existencia de un estado de guerra).</p> | Ref: ReliefWeb, <i>Glossary of Humanitarian Terms</i> (agosto de 2008) (solo en inglés) <a href=""https://reliefweb.int/sites/reliefweb.int/files/resources/4F99A3C28EC37D0EC12574A4002E89B4-reliefweb_aug2008.pdf"" target=""_blank"">https://reliefweb.int/sites/reliefweb.int/files/resources/4F99A3C28EC37D0EC12574A4002E89B4-reliefweb_aug2008.pdf</a> [7.9.2009]."
jefe del Estado Mayor de la Defensa;El jefe del Estado Mayor de la Defensa es el máximo responsable de las Fuerzas Armadas de un país, encargado de dirigir y coordinar sus operaciones mi.;"Consejo-ES a partir del Real Decreto 872/2014, de 10 de octubre, por el que se establece la organización básica de las Fuerzas Armadas, título I, art. 2 (BOE n.º 252 de 17.10.2014, p. 84086) <a href=""http://www.boe.es/boe/dias/2014/10/17/pdfs/BOE-A-2014-10520.pdf"" target=""_blank"">http://www.boe.es/boe/dias/2014/10/17/pdfs/BOE-A-2014-10520.pdf</a>";"Variants: jefe del Estado Mayor de la Defensa | Domains: INTERNATIONAL RELATIONS | Context: Persona que ejerce el mando de la estructura operativa de las fuerzas armadas, además de funciones de asesoramiento y apoyo militar. | Ref: Consejo-ES a partir del Real Decreto 872/2014, de 10 de octubre, por el que se establece la organización básica de las Fuerzas Armadas, título I, art. 2 (BOE n.º 252 de 17.10.2014, p. 84086) <a href=""http://www.boe.es/boe/dias/2014/10/17/pdfs/BOE-A-2014-10520.pdf"" target=""_blank"">http://www.boe.es/boe/dias/2014/10/17/pdfs/BOE-A-2014-10520.pdf</a>"
