"term";"definition";"retrieved_sources"
"plataforma militar";"Plataforma militar es un vehículo o dispositivo que se utiliza para transportar armas y personal militar. Las plataformas militares pueden ser terrestres, aéreas, marítimas o espaciales.";"[""https://www.tecnologiaeinnovacion.defensa.gob.es/es-es/Estrategia/HojasDeRuta/Paginas/Plataformas.aspx""]"
"Entrenamiento de Helicópteros en Zonas de Gran Altitud y Elevadas Temperaturas";"El entrenamiento de helicópteros en zonas de gran altitud y elevadas temperaturas es un programa de capacitación especializado para los pilotos de helicópteros que se realiza en áreas de alta altitud y temperatura elevada. El objetivo principal del programa es proporcionar a los pilotos con experiencia en vuelo en condiciones de alta altitud y temperatura elevada, así como con conocimientos y habilidades específicos para operar en estas condiciones. El programa incluye vuelos de entrenamiento en helicópteros en áreas de alta altitud y temperatura elevada, así como simulaciones y ejercicios de entrenamiento en tierra. Los pilotos participan en vuelos de entrenamiento en helicópteros en áreas de alta altitud";"[""https://pesco.europa.eu/project/helicopter-hot-and-high-training-h3-training/""]"
"sistema de defensa antimisiles";"";"[""http://www.aerospace-technology.com/projects/eurocopter_ec145/""]"
"alerta rápida e interceptación con vigilancia espacial de los teatros de operaciones";"Alerta rápida e intercepción con vigilancia espacial de los teatros de operaciones es un proyecto de cooperación estructurada permanente (PESCO) que busca fortalecer la capacidad de los europeos para mejorar la detección, seguimiento y contrarresto de amenazas hiperveloces, en particular en el dominio de misiles, a través de una combinación de capacidades mejoradas para la vigilancia temprana espacial y interceptores endoatmosféricos. El proyecto promueve la capacidad autónoma europea de contribuir a la defensa balística de la OTAN.";"[""https://pesco.europa.eu/project/timely-warning-and-interception-with-space-based-theater-surveillance-twister/""]"
"Sistema de Arquitectura Europea Global de Integración en materia de Sistemas de Aeronaves Pilotadas a Distancia (RPAS)";"Sistema de Arquitectura Europea Global de Integración en materia de Sistemas de Aeronaves Pilotadas a Distancia (RPAS)";"[""https://pesco.europa.eu/project/european-global-rpas-insertion-architecture-system/""]"
"cadena logística";"La cadena logística es un conjunto de actividades que se realizan para satisfacer las necesidades de los clientes.";"[""http://www.uned.es/experto-logistica-transporte-distribucion/tablon_13_14/AVANCE_TOMO1.pdf?bcsi_scan_dd8016818d07334e=0&amp;bcsi_scan_filename=AVANCE_TOMO1.pdf""]"
"Acuerdo de Seguridad entre la República Francesa, la República Italiana, la República Portuguesa y el Reino de España para la protección de la información clasificada de EUROFOR";"";"[""http://www.la-moncloa.es/ConsejodeMinistros/Referencias/_2006/Referencia+Consejo+030306.htm#Eurofor""]"
"Consorcio de No Proliferación de la UE";"The European Union Non-Proliferation and Disarmament Consortium (EUNPDC) is a network of European think tanks and research centers working in the field of non-proliferation and disarmament. The Consortium was established in 2011 by the European Commission to support the implementation of the EU Strategy against the proliferation of weapons of mass destruction and the EU Strategy to combat illicit accumulation and trafficking of small arms and light weapons and their ammunition. The Consortium is managed by six institutes: the Foundation for Strategic Research (FRS), the Peace Research Institute in Frankfurt (PRIF), the International Affairs Institute (IAI), the International Institute for Strategic Studies (IISS), the Stockholm International Peace Research Institute (SIPRI) and the Vienna Center for Disarmament and Non-Proliferation (VCDNP).";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32010D0430"", ""https://www.nonproliferation.eu/about/""]"
"Centro de Excelencia para la Lucha contra las Amenazas Híbridas";"Hybrid warfare is a type of warfare that uses a combination of conventional and unconventional methods to achieve political or military objectives. It is a form of asymmetric warfare that uses a combination of conventional and unconventional methods to achieve political or military objectives.";"[""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:52016JC0018"", ""http://valtioneuvosto.fi/en/article/-/asset_publisher/10616/eurooppalainen-hybridiuhkien-osaamiskeskus-perustettiin-helsinkiin""]"
"inteligencia, vigilancia y reconocimiento";"Inteligencia, vigilancia y reconocimiento (ISR) es la capacidad de recopilar, procesar, analizar y difundir información y conocimiento sobre el entorno, los objetivos y los adversarios, para apoyar las decisiones y acciones de las fuerzas armadas.";"[""https://publicaciones.defensa.gob.es/iniciativa-de-interoperabilidad-de-los-medios-conjuntos-de-inteligencia-vigilancia-y-reconocimiento.html""]"
