"term";"definition";"retrieved_sources"
"plataforma militar";"La plataforma militar es un concepto que abarca todas las plataformas terrestres, aéreas, navales y espaciales utilizadas por las fuerzas armadas para realizar diversas funciones, como la defensa, el ataque, la vigilancia y la comunicación. Incluye también aspectos transversales como la generación, almacenamiento y distribución de energía, así como la investigación y desarrollo de nuevos materiales y tecnologías.";"[""[\\""http://diccionario.raing.es/es/lema/defensa-antia%C3%A9rea\\""]"", ""[\\""https://www.tecnologiaeinnovacion.defensa.gob.es/es-es/Estrategia/HojasDeRuta/Paginas/Plataformas.aspx\\""]"", ""[\\""http://dle.rae.es/?w=contraespionaje\\""]""]"
"Entrenamiento de Helicópteros en Zonas de Gran Altitud y Elevadas Temperaturas";"El entrenamiento de helicópteros en zonas de gran altitud y elevadas temperaturas implica la capacitación de pilotos y personal de mantenimiento para operar helicópteros en entornos extremos, donde la altitud y el calor pueden afectar significativamente el rendimiento y la seguridad del equipo. Este entrenamiento abarca la preparación de los helicópteros para operar en condiciones adversas, la adopción de medidas de seguridad para minimizar los riesgos y la práctica de técnicas de vuelo específicas para manejar el helicóptero en altitudes y temperaturas extremas. El objetivo principal es garantizar la capacidad de los helicópteros para realizar misiones efectivas en entornos hostiles, mientras se minimiza el riesgo para la tripulación y el equipo.";"[""[\\""http://diccionario.raing.es/es/lema/defensa-antia%C3%A9rea\\""]"", ""[\\""http://dle.rae.es/?w=contraespionaje\\""]"", ""[\\""https://www.tecnologiaeinnovacion.defensa.gob.es/es-es/Estrategia/HojasDeRuta/Paginas/Plataformas.aspx\\""]""]"
"sistema de defensa antimisiles";"El sistema de defensa antimisiles es un conjunto de tecnologías y sistemas diseñados para detectar, rastrear y neutralizar misiles enemigos antes de que puedan alcanzar su objetivo. Este sistema puede incluir radar, sensores, sistemas de guía y armas antimisiles, como lanzadores de cohetes o cañones de defensa antimisilística. Su objetivo principal es proteger a personas, infraestructuras críticas y unidades militares de ataques con misiles.";"[""[\\""http://diccionario.raing.es/es/lema/defensa-antia%C3%A9rea\\""]"", ""[\\""http://dle.rae.es/?w=contraespionaje\\""]"", ""[\\""https://www.tecnologiaeinnovacion.defensa.gob.es/es-es/Estrategia/HojasDeRuta/Paginas/Plataformas.aspx\\""]""]"
"alerta rápida e interceptación con vigilancia espacial de los teatros de operaciones";"La alerta rápida e interceptación con vigilancia espacial de los teatros de operaciones se refiere a la capacidad de detectar y responder rápidamente a amenazas en los teatros de operaciones, utilizando sistemas de vigilancia espacial para proporcionar información de inteligencia y apoyar la toma de decisiones en tiempo real.";"[""[\\""http://diccionario.raing.es/es/lema/defensa-antia%C3%A9rea\\""]"", ""[\\""http://dle.rae.es/?w=contraespionaje\\""]"", ""[\\""https://publicaciones.defensa.gob.es/iniciativa-de-interoperabilidad-de-los-medios-conjuntos-de-inteligencia-vigilancia-y-reconocimiento.html\\""]""]"
"Sistema de Arquitectura Europea Global de Integración en materia de Sistemas de Aeronaves Pilotadas a Distancia (RPAS)";"El Sistema de Arquitectura Europea Global de Integración en materia de Sistemas de Aeronaves Pilotadas a Distancia (RPAS) es un marco de cooperación entre los Estados miembros de la Unión Europea para desarrollar y integrar sistemas de RPAS innovadores, incluyendo su inserción y integración en el sistema de cielo único europeo, con el objetivo de garantizar la seguridad y la eficiencia en la gestión del tráfico aéreo y la defensa aérea. Este sistema busca establecer un centro de competencia multinacional capaz de desarrollar conceptos, doctrinas y estándares para el uso de sistemas de RPAS y contra-RPAS, así como capacitar a los estados miembros en la planificación y ejecución de operaciones de RPAS. El sistema se enfoca en la creación de un modelo de simulación robusto y persistente para analizar y eval";"[""[\\""http://diccionario.raing.es/es/lema/defensa-antia%C3%A9rea\\""]"", ""[\\""http://dle.rae.es/?w=contraespionaje\\""]"", ""[\\""https://pesco.europa.eu/project/european-global-rpas-insertion-architecture-system/\\""]""]"
"cadena logística";"La cadena logística se refiere al conjunto de procesos y actividades que se llevan a cabo para planificar, organizar, coordinar y controlar la producción, almacenamiento, transporte y distribución de bienes y servicios desde su origen hasta su destino final.";"[""[\\""http://diccionario.raing.es/es/lema/defensa-antia%C3%A9rea\\""]"", ""[\\""http://dle.rae.es/?w=contraespionaje\\""]"", ""[\\""https://nso.nato.int/natoterm/Web.mvc\\""]""]"
"Acuerdo de Seguridad entre la República Francesa, la República Italiana, la República Portuguesa y el Reino de España para la protección de la información clasificada de EUROFOR";"La definición del término ""Acuerdo de Seguridad entre la República Francesa, la República Italiana, la República Portuguesa y el Reino de España para la protección de la información clasificada de EUROFOR"" es:";"[""[\\""http://dle.rae.es/?w=contraespionaje\\""]"", ""[\\""http://diccionario.raing.es/es/lema/defensa-antia%C3%A9rea\\""]"", ""[\\""https://www.europarl.europa.eu/doceo/document/A-8-2018-0392_ES.html\\""]""]"
"Consorcio de No Proliferación de la UE";"El Consorcio de No Proliferación de la UE es una red europea de grupos de reflexión independientes sobre la no proliferación, establecida en apoyo de la aplicación de la Estrategia de la UE contra la proliferación de armas de destrucción masiva. Su objetivo es alentar el diálogo político y de seguridad, así como un debate a largo plazo, en torno a las medidas de lucha contra la proliferación de armas de destrucción masiva y sus vectores, con la sociedad civil y, más particularmente, con expertos, investigadores y académicos. La red se enfoca en la no proliferación de armas de destrucción masiva, sus vectores y temas relacionados con las armas convencionales, incluidas las pequeñas y ligeras. El Consorcio de No Proliferación de la UE está compuesto por seis institutos";"[""[\\""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32010D0430\\"", \\""https://www.nonproliferation.eu/about/\\""]"", ""[\\""http://diccionario.raing.es/es/lema/defensa-antia%C3%A9rea\\""]"", ""[\\""http://dle.rae.es/?w=contraespionaje\\""]""]"
"Centro de Excelencia para la Lucha contra las Amenazas Híbridas";"El Centro de Excelencia para la Lucha contra las Amenazas Híbridas es un organismo especializado en la detección, análisis y mitigación de amenazas híbridas que combinan elementos de guerra convencional y no convencional, con el objetivo de proteger los intereses nacionales y garantizar la seguridad nacional.";"[""[\\""https://www.revistaensayosmilitares.cl/index.php/acague/article/view/42/34\\""]"", ""[\\""http://dle.rae.es/?w=contraespionaje\\""]"", ""[\\""http://diccionario.raing.es/es/lema/defensa-antia%C3%A9rea\\""]""]"
"inteligencia, vigilancia y reconocimiento";"Inteligencia, Vigilancia y Reconocimiento (ISR) se refiere a las capacidades conjuntas que contribuyen a desarrollar y mantener el nivel requerido de conciencia situacional, proporcionando información e inteligencia a quienes toman decisiones y a aquellos que las ejecutan durante el planeamiento y ejecución de las operaciones militares.";"[""[\\""https://publicaciones.defensa.gob.es/iniciativa-de-interoperabilidad-de-los-medios-conjuntos-de-inteligencia-vigilancia-y-reconocimiento.html\\""]"", ""[\\""http://dle.rae.es/?w=contraespionaje\\""]"", ""[\\""http://diccionario.raing.es/es/lema/defensa-antia%C3%A9rea\\""]""]"
