term;definition;source;info_semantica
obstrucción no gestionada de una carretera;La autoridad viaria es la entidad responsable de la gestión de las carreteras públicas en un determinado territorio. Puede ser un gobierno local, regional o nacional, dependiendo de la jurisdicción en la que se encuentre. Su función principal es garantizar la seguridad y la fluidez del tráfico en las carreteras, así como la mantención y mejora de la infraestructura viaria. La autoridad viaria puede tener diferentes funciones, como la planificación y diseño de las carreteras, la construcción y mantenimiento de las mismas, la gestión del tráfico y la respuesta a emergencias. También puede estar involucrada en la regulación del uso de las carreteras, como la imposición de límites de velocidad y restricciones de horario. En general, la autoridad viaria tiene la responsabilidad de garantizar que las carreteras sean seguras, eficaces y accesibles para todos los usuarios.;"Reglamento Delegado (UE) n° 886/2013 de la Comisión, de 15 de mayo de 2013, que complementa la Directiva 2010/40/UE del Parlamento Europeo y del Consejo en lo que respecta a los datos y procedimientos para facilitar, cuando sea posible, información mínima universal sobre el tráfico en relación con la seguridad vial, con carácter gratuito para el usuario, <a href=""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32013R0886"" target=""_blank"">CELEX:32013R0886/ES</a>";Variants: obstrucción no gestionada de una carretera | Domains: land transport | Context: Ref: Reglamento Delegado (UE) n° 886/2013 de la Comisión, de 15 de mayo de 2013, que complementa la Directiva 2010/40/UE del Parlamento Europeo y del Consejo en lo que respecta a los datos y procedimientos para facilitar, cuando sea posible, información mínima universal sobre el tráfico en relación con la seguridad vial, con carácter gratuito para el usuario, CELEX:32013R0886/ES
dirección asistida;El tráfico ligero se refiere a los vehículos que circulan por las carreteras con un peso inferior al permitido por la legislación vigente. Este tipo de vehículos pueden ser automóviles, motocicletas, bicicletas, etc.;TERMCAT;Variants: dirección asistida | Domains: land transport | Context: Ref: TERMCAT
plena vía;La plena vía se refiere a la capacidad máxima de carga que puede soportar una vía de carga. Es importante tener en cuenta esta capacidad máxima al diseñar y construir las vías de carga, ya que ayuda a garantizar la seguridad y la eficiencia del transporte ferroviario.;"COM-ES a partir de la Decisión de la Comisión, de 26 de abril de 2011, sobre la especificación técnica de interoperabilidad del subsistema de infraestructura del sistema ferroviario transeuropeo convencional, <a href=""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32011D0275"" id=""CELEX_CONVERTER"" target=""_blank"">CELEX:32011D0275/ES</a>";Variants: plena vía | Domains: land transport | Context: Ref: Decisión de la Comisión, de 26 de abril de 2011, sobre la especificación técnica de interoperabilidad del subsistema de infraestructura del sistema ferroviario transeuropeo convencional, CELEX:32011D0275/ES
cambiador de hilo;Un corredor de tránsito es un elemento de infraestructura ferroviaria que permite al tren girar hacia la izquierda o derecha sin necesidad de detenerse. Esto se logra mediante la utilización de un sistema de guías que permiten al tren seguir su trayectoria sin salir de la vía. Los corredores de tránsito son especialmente útiles en situaciones donde se requiere un cambio rápido de dirección, como en estaciones de tren o en zonas con mucho tráfico.;DGT-ES-TERM;"Variants: cambiador de hilo, cambiador de lado | Domains: land transport | Context: Por eso es muy probable que los ensayos, con los trenes Talgo XXI de GIF, instrumentalizados, de tracción diesel y rodadura desplazable comiencen a primeros del año 2002. Las pruebas se realizarán tomando en consideración numerosos aspectos de la actividad ferroviaria, entre los que destacarán la comprobación de la circulación sobre desvíos, cambios y cruzamientos, a 242 km/h en vía directa y a 110 km/h en vía desviada, las pruebas de circulación con trenes de carga, los estudios de los tramos de vía en placa y de vía con carril embebido y nuevo perfil, el análisis del comportamiento de los desvíos de tres carriles, y los ensayos del cambiador de lado del tercer carril. | Ref: Vía Libre , La revista del ferrocarril, http://www.vialibre-ffe.com/noticias.asp?cs=infr¬=262 (6-8-2010) | Ref: Ministerio de Fomento; Coordinadora para la Reapertura del Ferrocarril Canfranc-Olorón, http://crefco.org/017_Nueva%20variante%20de%20Huesca.pdf [22-01-2010] | Exactamente han sido instalados dos desvíos y cuatro cambiadores de lado de carril común (el que comparten los trenes de uno u otro ancho), también llamados cambiadores de hilo. | Ref: Ministerio de Fomento; Coordinadora para la Reapertura del Ferrocarril Canfranc-Olorón, http://crefco.org/017_Nueva%20variante%20de%20Huesca.pdf (6-8-2010) | Ref: Coordinadora para la Reapertura del Ferrocarril Canfranc-Olorón, http://crefco.org/017_Nueva%20variante%20de%20Huesca.pdf [22-01-2010]"
corazón;El paso libre de rueda en la punta del corazón se refiere a la distancia entre los extremos de las ruedas de la locomotora o del vehículo múltiple situadas en la punta del corazón.;Diccionario de transportes públicos urbanos y suburbanos, 1986;Variants: corazón, punta de corazón | Domains: land transport | Context: Ref: Diccionario de transportes públicos urbanos y suburbanos, 1986 | Ref: Dec. 96/206/ECSC, EC (1) OJ L 71/96 p.102 Dec. 93/186/EEC (2) OJ L 81/93 p.111
fuerza de lazo;El fin de autorización es el punto en el que se termina la autorización de movimiento de un tren.;<div>COM-ES, a partir de:</div><div>AENOR: UNE-EN 1991-2, <i>Eurocódigo 1: Acciones en estructuras. Parte 2: Cargas de tráfico en puentes</i>, (15.2.2023), (acceso mediante suscripción).<br></div>;Variants: fuerza de lazo | Domains: land transport | Context: Ref: Reglamento (UE) nº 1299/2014 de la Comisión relativo a las especificaciones técnicas de interoperabilidad del subsistema infraestructura en el sistema ferroviario de la Unión Europea(DO L 356 de 12.12.2014, p. 1).
camioneta;Un camión cisterna es un vehículo que se utiliza para transportar líquidos a granel. Estos vehículos pueden ser utilizados para transportar diversos tipos de líquidos, como aceite, gasolina, agua, químicos y otros productos. Los camiones cisterna son especialmente útiles en situaciones de emergencia, como desastres naturales o accidentes de tránsito, ya que pueden proporcionar suministros de agua y combustible a las áreas afectadas. Además, los camiones cisterna también se utilizan en industrias como la petroquímica y la agricultura para transportar productos químicos y fertilizantes.;TERMCAT. Diccionari de trànsit (en curso de elaboración);Variants: camioneta, pick-up | Domains: land transport, TRANSPORT | Context: Ref: Maquinaria y equipos agrícolas, CEMAGREF, 1990 y Min. de Agricultura | Ref: Maquinaria y equipos agrícolas, CEMAGREF, 1990 y Min. de Agricultura
freno de zapata;La composición del tren se refiere al proceso de ensamblar los vagones o coches que conforman un tren. En este proceso, los vagones son conectados entre sí mediante dispositivos mecánicos como ejes, bogies o cajas de transmisión, lo que permite que el tren funcione como una unidad coherente. La composición del tren también incluye la instalación de sistemas de seguridad, comunicaciones y control, así como la configuración de las puertas y ventanas para acomodar a los pasajeros. El objetivo principal de la composición del tren es garantizar la estabilidad, seguridad y eficiencia del servicio de transporte.;Diccionario de transportes públicos urbanos y suburbanos, 1986;Variants: freno de zapata | Domains: land transport | Context: Ref: Diccionario de transportes públicos urbanos y suburbanos, 1986
incidente de tráfico;El tráfico ligero se refiere al tráfico de vehículos ligeros, como automóviles, motocicletas o bicicletas. Estos vehículos son más pequeños y menos pesados que los vehículos pesados, y por lo tanto, generan menos contaminación;"COM-ES a partir del Glosario de IBM sobre transporte inteligente, <a href=""http://www-01.ibm.com/support/knowledgecenter/?lang=es#!/SSTMV4_1.6.0/transport/ref_glossary.dita"" target=""_blank"">http://www-01.ibm.com/support/knowledgecenter/?lang=es#!/SSTMV4_1.6.0/transport/ref_glossary.dita</a> [11.12.2014]";"Variants: incidente de tráfico, suceso de tráfico | Domains: land transport | Context: Ref: Glosario de IBM sobre transporte inteligente, http://www-01.ibm.com/support/knowledgecenter/? [11.12.2014] | Ref: Reglamento Delegado (UE) n° 886/2013 de la Comisión, de 15 de mayo de 2013, que complementa la Directiva 2010/40/UE del Parlamento Europeo y del Consejo en lo que respecta a los datos y procedimientos para facilitar, cuando sea posible, información mínima universal sobre el tráfico en relación con la seguridad vial, con carácter gratuito para el usuario; artículo 3, CELEX:32013R0886/ES"
composición del tren;Un tren de al;Diccionario de transportes públicos urbanos y suburbanos, 1986;Variants: composición del tren, formación de un tren | Domains: TRANSPORT, land transport | Context: Ref: Diccionario de transportes públicos urbanos y suburbanos, 1986 | Ref: Diccionario de transportes públicos urbanos y suburbanos, 1986
componente de interoperabilidad;La velocidad de la línea es la velocidad máxima que puede alcanzar un tren en una determinada línea ferroviaria. Esta;"Directiva 2008/57/CE del Parlamento Europeo y del Consejo sobre la interoperabilidad del sistema ferroviario dentro de la Comunidad (Texto refundido), art. 2.f (DO L 191/2008, p. 1), <a href=""http://eur-lex.europa.eu/legal-content/ES/TXT/?uri=CELEX:32008L0057"" target=""_blank"">CELEX:32008L0057/ES</a>";Variants: componente de interoperabilidad | Domains: land transport | Context: Ref: Directiva 2008/57/CE del Parlamento Europeo y del Consejo sobre la interoperabilidad del sistema ferroviario dentro de la Comunidad (Texto refundido), art. 2.f (DO L 191/2008, p. 1), CELEX:32008L0057/ES
