term;definition;source;info_semantica
aeronomía;La aeronomía es la rama de la astronomía que estudia las capas de gases atmosféricos de los planetas, lunas y otros cuerpos celestes. Se enfoca en com.;Real Academia de Ciencias Exactas, Físicas y Naturales, <i>Vocabulario científico y técnio</i>, tercera edición, Espasa, Madrid, 1996, p. 35.;Variants: aeronomía | Domains: SCIENCE | Context: Estudio de las propiedades físicas y químicas de la atmósfera superior, es decir, por encima de los 40-50 km de altura, donde las características fundamentales de la atmósfera están ligadas a procesos de disociación e ionización. | Ref: Real Academia de Ciencias Exactas, Físicas y Naturales, <i>Vocabulario científico y técnio</i>, tercera edición, Espasa, Madrid, 1996, p. 35.
acreción;La acreción es un proceso por el cual una masa celeste, como un planeta o una luna, se hace más grande debido a la captura de material que orbita alre.;Glosario multilingüe de protección civil 1990,Grupo de Trabajo Comisión Europea/Estados Miembros;Variants: acreción | Domains: SCIENCE | Context: en meteorología, el fenómeno por el que partículas suspendidas en el aire se adhieren a cuerpos fijos o volantes, como hace el hielo en los cables de teléfono o en los aviones | Ref: Glosario multilingüe de protección civil 1990,Grupo de Trabajo Comisión Europea/Estados Miembros
halófito;El halófito es una planta que crece en ambientes salinos, como playas, estuarios o lagunas costeras, y puede tolerar altos niveles de sales disueltas .;"Sobre la base de Salvador Rivas-Martínez: <i>Global Bioclimatics(Clasificación Bioclimática de la Tierra) (Versión 27-08-2004)</i> ( <a href=""http://webs.ucm.es/info/cif/book/bioc/global_bioclimatics_8.htm"" target=""_blank"">http://webs.ucm.es/info/cif/book/bioc/global_bioclimatics_8.htm</a> ) (consultado el 26.2.2018)";"Variants: halófito | Domains: SCIENCE | Context: Planta que prospera en suelos salinos donde abundan las sales sódicas. | Ref: Sobre la base de Salvador Rivas-Martínez: <i>Global Bioclimatics(Clasificación Bioclimática de la Tierra) (Versión 27-08-2004)</i> ( <a href=""http://webs.ucm.es/info/cif/book/bioc/global_bioclimatics_8.htm"" target=""_blank"">http://webs.ucm.es/info/cif/book/bioc/global_bioclimatics_8.htm</a> ) (consultado el 26.2.2018)"
kelvin;El kelvin es la unidad de medida del termodinámica que se utiliza para expresar temperaturas absolutas. Se define como la temperatura a la cual los ga.;Glosario multilingüe de protección civil 1990,Grupo de Trabajo Comisión Europea/Estados Miembros;Variants: kelvin | Domains: SCIENCE | Context: Unidad estándar de temperatura termodinámica, correspondiente a la temperatura Celsius. | Ref: Glosario multilingüe de protección civil 1990,Grupo de Trabajo Comisión Europea/Estados Miembros
índice Wmin;El índice Wmin es una medida utilizada en la física de partículas para describir la probabilidad de que un evento de colisión produzca un número mínim.;ICID-Comité Español de Riegos y Drenajes, 1977;Variants: índice Wmin | Domains: SCIENCE | Context: en condiciones de intensa humedad, cuando el grado de retención es mínimo, los valores del índice W y del índice phi son casi idénticos y el índice W se llama Wmin | Ref: ICID-Comité Español de Riegos y Drenajes, 1977
física de la atmósfera;La física de la atmósfera es el estudio científico que se enfoca en la comprensión de los fenómenos atmosféricos, incluyendo la composición, estructur.;Experto español en la materia.;Variants: física de la atmósfera | Domains: SCIENCE | Context: Estudio de los fenómenos físicos de la atmósfera. | Ref: Experto español en la materia.
actividad fotosintética;La actividad fotosintética es el proceso por el que las plantas, algas y algunas bacterias capturan la energía del sol y la convierten en glucosa y ox.;Termcat;Variants: actividad fotosintética | Domains: SCIENCE | Context: poder, de una sustancia u organismo, de transformar la luz en energía utilizable por los organismos vivos | Ref: Termcat
espícula;La espícula es una estructura de silicato que se encuentra en los organismos del filo Porifera, como las esponjas. Está compuesta por sílice y tiene f.;"<div>COM-ES, basado en:</div><div>British Society for Immunology, Home &gt; Public information &gt; Bitesized immunology &gt; Pathogens and disease &gt;<a href=""https://www.immunology.org/es/public-information/bitesized-immunology/pathogens-and-disease/virus-introducci%C3%B3n"" target=""_blank""> Virus: introducción<time datetime=""5.6.2020""> (5.6.2020)</time></a><br></div>";"Variants: espícula | Domains: SCIENCE | Context: Proteína (típicamente una glicoproteína) codificada por un virus e insertada en su envoltura lipídica, que participa en el reconocimiento de los receptores y en el tropismo viral. | Ref: <div>COM-ES, basado en:</div><div>British Society for Immunology, Home &gt; Public information &gt; Bitesized immunology &gt; Pathogens and disease &gt;<a href=""https://www.immunology.org/es/public-information/bitesized-immunology/pathogens-and-disease/virus-introducci%C3%B3n"" target=""_blank""> Virus: introducción<time datetime=""5.6.2020""> (5.6.2020)</time></a><br></div>"
roedor doméstico;El roedor doméstico es un mamífero pequeño que se alimenta de alimentos sólidos, como granos, frutas y verduras, y que a menudo se mantiene como masco.;DO 1989 C 327/58;Variants: roedor doméstico | Domains: SCIENCE | Context: los roedores nacidos, criados y mantenidos en cautividad | Ref: DO 1989 C 327/58
isóbata de la superficie piezométrica;La isóbata de la superficie piezométrica es una línea que conecta puntos con igual valor de presión en la superficie piezométrica. 1 Fuente: [1] Nota:.;ICID-Comité Español de Riegos y Drenajes, 1977;Variants: isóbata de la superficie piezométrica | Domains: SCIENCE | Context: curva en la superficie del terreno, cuyos puntos están a igual distancia por encima de la superficie piezométrica | Ref: ICID-Comité Español de Riegos y Drenajes, 1977
coeficiente de compresibilidad;El coeficiente de compresibilidad es la relación entre la variación del volumen de un fluido y la variación de presión que lo comprime. Se utiliza com.;Termcat;Variants: coeficiente de compresibilidad | Domains: SCIENCE | Context: disminución del volumen por unidad de volumen de una sustancia como resultante de un aumento de la unidad de presión | Ref: Termcat
yema;La yema es la parte central de una semilla, que contiene los embriones del tallo y las raíces. Es la región más densa y compacta de la semilla, rodead.;COM-ES, a partir de Wikipedia.[9.4.2013];Variants: yema | Domains: SCIENCE | Context: En botánica, órgano complejo de las plantas que se forma habitualmente en la axila de las hojas (yema axilar o lateral) o en la punta de una ramilla (yema terminal), a modo de botón escamoso, y que dará lugar a hojas (foliíferas) y flores (floríferas). | Ref: COM-ES, a partir de Wikipedia.[9.4.2013]
valor de la bibliografía;El valor de la bibliografía se refiere a la importancia o relevancia de las fuentes escritas utilizadas en una investigación científica, especialmente.;"Consejo-ES, a partir de:<div>-Council-EN</div><div>- Reference.com &gt;<a href=""https://www.reference.com/science/literature-value-chemistry-ae1d07a4222e23a9"" target=""_blank"">What Is a “literature Value” in Chemistry?</a><time datetime=""17.4.2023""> (17.4.2023)</time></div>";"Variants: valor de la bibliografía | Domains: SCIENCE | Context: En el ámbito científico, valor aceptado de una medición constante o experimental que se puede encontrar en la bibliografía especializada y que es necesario para realizar cálculos experimentales o teóricos en el laboratorio. | Ref: Consejo-ES, a partir de:<div>-Council-EN</div><div>- Reference.com &gt;<a href=""https://www.reference.com/science/literature-value-chemistry-ae1d07a4222e23a9"" target=""_blank"">What Is a “literature Value” in Chemistry?</a><time datetime=""17.4.2023""> (17.4.2023)</time></div>"
