"term";"definition";"retrieved_sources"
"mínimos de energía espurios";"""mínimos de energía espurios""";"[""[\\""http://www.ati.es/novatica/glosario/glosario_internet.html#cracker\\""]"", ""[\\""https://www.elcultural.com/revista/ciencia/10-respuestas-a-la-supercomputacion/9153\\""]"", ""[\\""http://www.itsmf.es/index.php?option=com_docman&amp;task=cat_view&amp;gid=338&amp;Itemid=177\\""]""]"
"autenticación fuerte";"""Autenticación fuerte""";"[""[\\""http://www.ati.es/novatica/glosario/glosario_internet.html#cracker\\""]"", ""[\\""https://www.elcultural.com/revista/ciencia/10-respuestas-a-la-supercomputacion/9153\\""]"", ""[\\""https://www.consumoteca.com/telecomunicaciones/internet/proveedor-de-contenido/\\""]""]"
"carga";"La carga se refiere a la cantidad o peso de algo que se transporta, se almacena o se maneja en un lugar determinado. Puede ser física, como en el caso de mercancías o objetos, o virtual, como en el caso de tráfico de datos o cargas de trabajo en sistemas informáticos. La carga puede ser medida en diferentes unidades, dependiendo del contexto, como kilogramos, toneladas, bytes o peticiones por segundo. En general, la carga se considera un factor crítico en la planificación y gestión de recursos, ya que puede afectar la eficiencia, la seguridad y la disponibilidad de los sistemas y procesos involucrados.";"[""[\\""http://www.ati.es/novatica/glosario/glosario_internet.html#cracker\\""]"", ""[\\""https://books.google.be/books?id=0OpCDwAAQBAJ&amp;lpg=PP1&amp;hl=es&amp;pg=PA4#v=onepage&amp;q&amp;f=false\\""]"", ""[\\""http://www.itsmf.es/index.php?option=com_docman&amp;task=cat_view&amp;gid=338&amp;Itemid=177\\""]""]"
"servicio de blog";"Servicio de blog.";"[""[\\""http://www.ati.es/novatica/glosario/glosario_internet.html#cracker\\""]"", ""[\\""http://es.wikipedia.org/wiki/WordPress\\"", \\""http://es.wikipedia.org/wiki/Blogger\\""]"", ""[\\""http://www.itsmf.es/index.php?option=com_docman&amp;task=cat_view&amp;gid=338&amp;Itemid=177\\""]""]"
"conectividad digital";"La conectividad digital se refiere a la capacidad de acceder y compartir información a través de redes de comunicación digitales, como Internet, permitiendo la interconexión de dispositivos y sistemas para facilitar la comunicación, el acceso a información y la participación en actividades en línea. La conectividad digital es un componente fundamental de la sociedad de la información y la economía digital, y se utiliza en una variedad de contextos, desde la educación y la salud hasta la economía y la gobernanza. La conectividad digital puede ser entendida como la capacidad de conectarse a Internet, pero también implica la capacidad de acceder a información y servicios en línea, así como la capacidad de interactuar con otros a través de redes sociales y plataformas en línea. La conectividad digital es un aspecto crucial para la inclusión digital y la participación en la sociedad de la información. La conectividad digital se refiere a la capacidad de";"[""[\\""http://www.ati.es/novatica/glosario/glosario_internet.html#cracker\\""]"", ""[\\""http://www.ub.edu/geocrit/aracne/aracne-150.htm\\""]"", ""[\\""https://www.consumoteca.com/telecomunicaciones/internet/proveedor-de-contenido/\\""]""]"
"soporte físico";"El término ""soporte físico"" se refiere a la infraestructura material o hardware que permite el funcionamiento de sistemas, dispositivos o aplicaciones informáticas. Esto incluye componentes como servidores, discos duros, memorias RAM, tarjetas gráficas, entre otros, que forman la base física de la tecnología informática. En resumen, el soporte físico es la parte tangible de la tecnología informática que permite la ejecución de procesos y la almacenamiento de datos.";"[""[\\""http://www.ati.es/novatica/glosario/glosario_internet.html#cracker\\""]"", ""[\\""http://www.itsmf.es/index.php?option=com_docman&amp;task=cat_view&amp;gid=338&amp;Itemid=177\\""]"", ""[\\""https://www.elcultural.com/revista/ciencia/10-respuestas-a-la-supercomputacion/9153\\""]""]"
"proveedor de contenidos de internet";"Proveedor de contenidos de Internet: Persona física, empresa o profesional que produce o publica regularmente información en Internet, utilizando recursos propios o aquellos suministrados por un proveedor de acceso. El contenido puede ser de diferentes tipos, como texto, audiovisual, audio, etc., y el proveedor de contenido ostenta la propiedad intelectual de su producción. Puede distribuir el contenido a través de plataformas de pago por visión o con la ayuda de un distribuidor, quien lo ofrece a los usuarios finales, que pueden acceder a él de manera gratuita o mediante un pago.";"[""[\\""https://www.consumoteca.com/telecomunicaciones/internet/proveedor-de-contenido/\\""]"", ""[\\""http://www.ati.es/novatica/glosario/glosario_internet.html#cracker\\""]"", ""[\\""https://www.elcultural.com/revista/ciencia/10-respuestas-a-la-supercomputacion/9153\\""]""]"
"registrador";"El registrador es una persona que se encarga de registrar documentos y transacciones en un registro oficial, como un libro o un archivo digital, para mantener un registro preciso y verificable de las actividades y transacciones realizadas.";"[""[\\""http://www.ati.es/novatica/glosario/glosario_internet.html#cracker\\""]"", ""[\\""http://books.google.lu/books?id=jUHGRXd5xU8C&amp;hl=fr\\""]"", ""[\\""https://www.elcultural.com/revista/ciencia/10-respuestas-a-la-supercomputacion/9153\\""]""]"
"supercomputación";"""supercomputación""";"[""[\\""http://www.ati.es/novatica/glosario/glosario_internet.html#cracker\\""]"", ""[\\""https://es.wikipedia.org/wiki/Hardware\\""]"", ""[\\""https://www.elcultural.com/revista/ciencia/10-respuestas-a-la-supercomputacion/9153\\""]""]"
"réplica";"La réplica es la copia exacta de algo, ya sea un objeto, un texto, una imagen, etc. Puede referirse a una reproducción física o digital de un elemento original. La réplica puede ser utilizada para fines de conservación, educación, entretenimiento o comercial. En algunos contextos, la réplica se utiliza para describir una acción o un comportamiento que imita o reproduce a otro. La réplica puede ser exacta o aproximada, dependiendo del propósito y la calidad de la copia. En general, la réplica se refiere a la creación de una versión similar o idéntica de algo existente.";"[""[\\""http://www.ati.es/novatica/glosario/glosario_internet.html#cracker\\""]"", ""[\\""https://www.elcultural.com/revista/ciencia/10-respuestas-a-la-supercomputacion/9153\\""]"", ""[\\""https://www.fundeu.es/recomendacion/duplicar-o-enviar-alternativas-a-screen-mirroring/\\""]""]"
