term;definition;source;info_semantica
aeronomía;"La aeronomía se refiere al estudio de las propiedades físicas y químicas de la atmósfera superior, específicamente en altitudes superiores a los 40-50 kilómetros, donde ocurren procesos de disociación e ionización que influyen en las características fundamentales de la atmósfera.";Real Academia de Ciencias Exactas, Físicas y Naturales, <i>Vocabulario científico y técnio</i>, tercera edición, Espasa, Madrid, 1996, p. 35.;Variants: aeronomía | Domains: SCIENCE | Context: Estudio de las propiedades físicas y químicas de la atmósfera superior, es decir, por encima de los 40-50 km de altura, donde las características fundamentales de la atmósfera están ligadas a procesos de disociación e ionización. | Ref: Real Academia de Ciencias Exactas, Físicas y Naturales, Vocabulario científico y técnio , tercera edición, Espasa, Madrid, 1996, p. 35.
acreción;"La acreción es el proceso mediante el cual partículas suspendidas en el aire se adhieren a cuerpos fijos o volantes.";Glosario multilingüe de protección civil 1990,Grupo de Trabajo Comisión Europea/Estados Miembros;Variants: acreción | Domains: SCIENCE | Context: en meteorología, el fenómeno por el que partículas suspendidas en el aire se adhieren a cuerpos fijos o volantes, como hace el hielo en los cables de teléfono o en los aviones | Ref: Glosario multilingüe de protección civil 1990,Grupo de Trabajo Comisión Europea/Estados Miembros
halófito;"El halófito es una planta que crece en suelos con alta concentración de sales sódicas.";"Sobre la base de Salvador Rivas-Martínez: <i>Global Bioclimatics(Clasificación Bioclimática de la Tierra) (Versión 27-08-2004)</i> ( <a href=""http://webs.ucm.es/info/cif/book/bioc/global_bioclimatics_8.htm"" target=""_blank"">http://webs.ucm.es/info/cif/book/bioc/global_bioclimatics_8.htm</a> ) (consultado el 26.2.2018)";Variants: halófito | Domains: SCIENCE | Context: Planta que prospera en suelos salinos donde abundan las sales sódicas. | Ref: Sobre la base de Salvador Rivas-Martínez: Global Bioclimatics(Clasificación Bioclimática de la Tierra) (Versión 27-08-2004) ( http://webs.ucm.es/info/cif/book/bioc/global_bioclimatics_8.htm ) (consultado el 26.2.2018)
kelvin;"La unidad estándar de medida de temperatura termodinámica, que es equivalente a la diferencia entre cero absoluto y cualquier otra temperatura.";Glosario multilingüe de protección civil 1990,Grupo de Trabajo Comisión Europea/Estados Miembros;Variants: kelvin | Domains: SCIENCE | Context: Unidad estándar de temperatura termodinámica, correspondiente a la temperatura Celsius. | Ref: Glosario multilingüe de protección civil 1990,Grupo de Trabajo Comisión Europea/Estados Miembros
índice Wmin;"El índice Wmin es el valor que representa la relación entre la presión capilar y la tensión superficial de un suelo en condiciones de humedad extrema, donde la retención de agua es mínima. Este índice se utiliza en ingeniería hidráulica y agronomía para evaluar las propiedades hidrofísicas de los suelos y predecir su comportamiento en diferentes situaciones de humedad. El índice Wmin es particularmente importante en zonas con precipitaciones intensas o en áreas con problemas de inundaciones, ya que permite determinar la capacidad del suelo para retener agua y evitar daños estructurales. Se calcula mediante fórmulas específicas que consideran factores como la densidad del suelo, la porosidad y la conductividad hidráulica.";ICID-Comité Español de Riegos y Drenajes, 1977;Variants: índice Wmin | Domains: SCIENCE | Context: en condiciones de intensa humedad, cuando el grado de retención es mínimo, los valores del índice W y del índice phi son casi idénticos y el índice W se llama Wmin | Ref: ICID-Comité Español de Riegos y Drenajes, 1977
física de la atmósfera;"La física de la atmósfera es el estudio de los fenómenos físicos que ocurren dentro de la atmósfera terrestre, abarcando desde las propiedades básicas de la atmósfera como su composición química y temperatura, hasta los procesos más complejos como la formación de nubes y la circulación atmosférica.";Experto español en la materia.;Variants: física de la atmósfera | Domains: SCIENCE | Context: Estudio de los fenómenos físicos de la atmósfera. | Ref: Experto español en la materia.
actividad fotosintética;"La actividad fotosintética es el proceso mediante el cual las plantas y algunos microorganismos convierten la energía luminosa del sol en energía química a través de reacciones químicas que involucran clorofila y otros pigmentos fotosensibles.";Termcat;Variants: actividad fotosintética | Domains: SCIENCE | Context: poder, de una sustancia u organismo, de transformar la luz en energía utilizable por los organismos vivos | Ref: Termcat
espícula;"La espícula es una proteína codificada por un virus que se inserta en su envoltura lipídica y participa en el reconocimiento de los receptores y en el tropismo viral.";"<div>COM-ES, basado en:</div><div>British Society for Immunology, Home &gt; Public information &gt; Bitesized immunology &gt; Pathogens and disease &gt;<a href=""https://www.immunology.org/es/public-information/bitesized-immunology/pathogens-and-disease/virus-introducci%C3%B3n"" target=""_blank""> Virus: introducción<time datetime=""5.6.2020""> (5.6.2020)</time></a><br></div>";Variants: espícula | Domains: SCIENCE | Context: Proteína (típicamente una glicoproteína) codificada por un virus e insertada en su envoltura lipídica, que participa en el reconocimiento de los receptores y en el tropismo viral. | Ref: COM-ES, basado en: British Society for Immunology, Home > Public information > Bitesized immunology > Pathogens and disease > Virus: introducción (5.6.2020)
roedor doméstico;"El roedor doméstico es un animal de compañía que pertenece a la familia Muridae, cuyos individuos son originarios de diversas partes del mundo y han sido domesticados por humanos.";DO 1989 C 327/58;Variants: roedor doméstico | Domains: SCIENCE | Context: los roedores nacidos, criados y mantenidos en cautividad | Ref: DO 1989 C 327/58
isóbata de la superficie piezométrica;"La isóbata de la superficie piezométrica es la curva que representa los puntos del terreno situados a igual distancia por encima o por debajo de la superficie piezométrica, que es la línea imaginaria que une los puntos del terreno con la misma presión potencial hidráulica.";ICID-Comité Español de Riegos y Drenajes, 1977;Variants: isóbata de la superficie piezométrica | Domains: SCIENCE | Context: curva en la superficie del terreno, cuyos puntos están a igual distancia por encima de la superficie piezométrica | Ref: ICID-Comité Español de Riegos y Drenajes, 1977
